slug,name,kind,difficulty,domain,definition,aliases,courses,units,n_units,n_courses,degree,occurrence_count,files
accuracy,Accuracy,metric,3,ml,,,ML,ML-MOD06,1,1,0,1,Syllabus_Machine_Learning.pdf
adaptive-boosting,Adaptive boosting,method,3,ml,,,ML,ML-MOD05,1,1,0,1,Syllabus_Machine_Learning.pdf
addition-rules,addition rules,method,3,prob,,,PROB,PROB-MAT06,1,1,1,1,Syllabus_Probability_essentials.pdf
algebraic-view-on-vectors,Algebraic view on vectors,definition,3,linalg,,,LINALG,LINALG-SES06,1,1,0,1,Syllabus_Linear_Algebra.pdf
an-inverse-matrix,an inverse matrix,definition,3,linalg,,,LINALG,LINALG-SES10,1,1,2,1,Syllabus_Linear_Algebra.pdf
antiderivative,Antiderivative,definition,3,calc,,,CALC,CALC-LEC10,1,1,2,1,Syllabus_Calculus.pdf
applications-for-sle,Applications for SLE,definition,3,linalg,,,LINALG,LINALG-SES04,1,1,2,1,Syllabus_Linear_Algebra.pdf
applications-for-solutions-for-sle,Applications for solutions for SLE,definition,3,linalg,,,LINALG,LINALG-SES04,1,1,0,1,Syllabus_Linear_Algebra.pdf
auc,AUC,metric,3,ml,,,ML,ML-MOD06,1,1,0,1,Syllabus_Machine_Learning.pdf
back-to-school,Back to School,definition,3,linalg,,,LINALG,LINALG-SES01,1,1,2,1,Syllabus_Linear_Algebra.pdf
bagging-ensemble,Bagging ensemble,method,3,ml,,,ML,ML-MOD05,1,1,0,1,Syllabus_Machine_Learning.pdf
baselines,baselines,definition,3,ml,,,ML,ML-MOD06,1,1,0,1,Syllabus_Machine_Learning.pdf
basic-averaging,Basic averaging,definition,3,ml,,,ML,ML-MOD05,1,1,0,1,Syllabus_Machine_Learning.pdf
basics-of-logic,Basics of logic,definition,3,prob,,,PROB,PROB-TOP00,1,1,25,1,Syllabus_Probability_essentials.pdf
bayes-rule,Bayes' rule,principle,3,prob,,,PROB,PROB-MAT13|PROB-MAT14|PROB-PRA14,3,1,0,2,Syllabus_Probability_essentials.pdf
blending,blending,definition,3,ml,,,ML,ML-MOD05,1,1,0,1,Syllabus_Machine_Learning.pdf
cartesian-product,Cartesian product,definition,3,prob,,,PROB,PROB-MAT06,1,1,3,1,Syllabus_Probability_essentials.pdf
combinations,Combinations,definition,3,prob,,,PROB,PROB-MAT06,1,1,1,1,Syllabus_Probability_essentials.pdf
combinatorics,combinatorics,definition,3,prob,,,PROB,PROB-MAT05,1,1,1,1,Syllabus_Probability_essentials.pdf
combinatorics-in-probability-word-problems,combinatorics in probability word problems,definition,3,prob,,,PROB,PROB-MAT06,1,1,1,1,Syllabus_Probability_essentials.pdf
concept-of-a-linear-space,concept of a linear space,definition,3,linalg,,,LINALG,LINALG-SES06,1,1,0,1,Syllabus_Linear_Algebra.pdf
conditional-probability,Conditional probability,definition,3,prob,,,PROB,PROB-MAT11,1,1,2,1,Syllabus_Probability_essentials.pdf
confusion-matrix,Confusion matrix,definition,3,ml,,,ML,ML-MOD06,1,1,0,1,Syllabus_Machine_Learning.pdf
convergence-of-series,Convergence of series,definition,3,calc,,,CALC,CALC-LEC12,1,1,0,1,Syllabus_Calculus.pdf
definite-integral,Definite integral,definition,3,calc,,,CALC,CALC-LEC12,1,1,1,1,Syllabus_Calculus.pdf
definition-of-a-matrix-recap,definition of a matrix (recap,definition,3,linalg,,,LINALG,LINALG-SES06,1,1,0,1,Syllabus_Linear_Algebra.pdf
definition-of-the-derivative,Definition of the derivative,definition,3,calc,,,CALC,CALC-LEC05,1,1,2,1,Syllabus_Calculus.pdf
determinant-of-matrix,Determinant of matrix,metric,3,linalg,,,LINALG,LINALG-SES12,1,1,0,1,Syllabus_Linear_Algebra.pdf
determinants,Determinants,definition,3,linalg,,,LINALG,LINALG-SES12,1,1,2,1,Syllabus_Linear_Algebra.pdf
dice,Dice,definition,3,ml,,,ML,ML-MOD06,1,1,0,1,Syllabus_Machine_Learning.pdf
differential-of-a-function,Differential of a function,definition,3,calc,,,CALC,CALC-LEC07,1,1,2,1,Syllabus_Calculus.pdf
differentiation-rules,Differentiation rules,definition,3,calc,,,CALC,CALC-LEC05,1,1,0,1,Syllabus_Calculus.pdf
