unit_id,module_code,course_code,ordinal,n_files,chars
CALC-TOP00,CALC-M0,CALC,0,1,0
CALC-LEC05,CALC-M5,CALC,5,1,0
CALC-LEC07,CALC-M7,CALC,7,1,0
CALC-LEC10,CALC-M10,CALC,10,1,0
CALC-LEC12,CALC-M12,CALC,12,1,0
LINALG-TOP00,LINALG-M1,LINALG,0,1,0
LINALG-SES01,LINALG-M1,LINALG,1,1,0
LINALG-SES04,LINALG-M2,LINALG,4,1,0
LINALG-SES06,LINALG-M2,LINALG,6,1,0
LINALG-SES07,LINALG-M3,LINALG,7,1,0
LINALG-SES08,LINALG-M3,LINALG,8,1,0
LINALG-SES10,LINALG-M4,LINALG,10,1,0
LINALG-SES11,LINALG-M5,LINALG,11,1,0
LINALG-SES12,LINALG-M5,LINALG,12,1,0
LINALG-SES14,LINALG-M6,LINALG,14,1,0
ML-MOD05,ML-M0,ML,5,1,0
ML-MOD06,ML-M0,ML,6,1,0
PROB-TOP00,PROB-M1,PROB,0,1,0
PROB-MAT01,PROB-M1,PROB,1,1,0
PROB-PRA01,PROB-M1,PROB,1,1,0
PROB-MAT02,PROB-M1,PROB,2,1,0
PROB-PRA02,PROB-M1,PROB,2,1,0
PROB-MAT03,PROB-M2,PROB,3,1,0
PROB-MAT04,PROB-M2,PROB,4,1,0
PROB-PRA04,PROB-M2,PROB,4,1,0
PROB-MAT05,PROB-M3,PROB,5,1,0
PROB-MAT06,PROB-M3,PROB,6,1,0
PROB-MAT11,PROB-M6,PROB,11,1,0
PROB-MAT12,PROB-M6,PROB,12,1,0
PROB-PRA12,PROB-M6,PROB,12,1,0
PROB-MAT13,PROB-M7,PROB,13,1,0
PROB-MAT14,PROB-M7,PROB,14,1,0
PROB-PRA14,PROB-M7,PROB,14,1,0
PROB-MAT15,PROB-M8,PROB,15,1,0
PROB-PRA15,PROB-M8,PROB,15,1,0
PROB-MAT16,PROB-M8,PROB,16,1,0
PROB-PRA16,PROB-M8,PROB,16,1,0
